,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6,Word 7,Word 8,Word 9,Word 10,Word 11,Word 12,Word 13,Word 14,Word 15
Topic 1,asylum,decision,claim,seeker,country,authority,appeal,first,application,whether,provide,interview,making,determine,instance
Topic 2,right,human,international,refoulement,non,principle,refugee,state,convention,asylum,article,obligation,respect,country,include
Topic 3,state,convention,legislation,instrument,declaration,regional,national,protocol,country,protection,european,definition,asylum,union,and
Topic 4,asylum,seekers,procedure,need,person,protection,access,include,ensure,specific,state,claim,application,individual,traffic
Topic 5,refugee,country,support,situation,provide,international,humanitarian,people,community,resettlement,protection,state,unhcr,solution,integration
Topic 6,unhcr,ensure,international,protection,refugee,parliamentarian,encourage,measure,include,asylum,committee,state,executive,standard,general
Topic 7,child,family,separate,unaccompanied,education,woman,interest,girl,primary,school,provide,procedure,adult,take,consideration
Topic 8,unhcr,status,gender,protection,committee,violence,sexual,executive,conclusion,and,convention,or,refugee,determination,woman
Topic 9,protection,convention,status,country,article,person,family,state,refugee,persecution,apply,right,reason,complementary,include
Topic 10,detention,order,include,necessary,facility,return,alternative,removal,authorities,state,public,review,ensure,individual,detain
